"id","location","home_latit","home_longi","home_ancho","far_latitu","far_longit","far_anchor","riggable","home_lat_l","far_lat_lo","line_id","state","xsRail","xsRoad","xsTrail","length","fs_land","blm_land"
1,"wonderland",39.93353,-105.41456,"bolts_and_tree",39.93399,-105.41526,"bolts",1,"NULL","NULL",1,"Colorado","NULL","NULL","NULL",78.857765044418,1,0
2,"wonderland",39.93323,-105.41345,"bolts",39.93419,-105.41199,"tree",1,"NULL","NULL",2,"Colorado","NULL","NULL","NULL",164.516497468513,1,0
3,"wonderland",39.93723,-105.41669,"unknown",39.92845,-105.40451,"unknown",0,"NULL","NULL",3,"Colorado","1","NULL","NULL",1429.72645439479,1,0
4,"wonderland",39.92961,-105.41649,"unknown",39.93145,-105.41835,"unknown",0,"NULL","NULL",4,"Colorado","1","NULL","NULL",259.500505673403,1,0
5,"boulder bowl",39.99907,-105.41089,"bolts",39.99863,-105.41164,"bolts",1,"NULL","NULL",5,"Colorado","NULL","NULL","NULL",80.7466703520562,1,0
6,"boulder bowl",39.99887,-105.41078,"bolts",39.99861,-105.41132,"bolts",1,"NULL","NULL",6,"Colorado","NULL","NULL","NULL",54.5355750793645,1,0
7,"boulder bowl",39.99871,-105.41085,"tree",39.99852,-105.41111,"tree",1,"NULL","NULL",7,"Colorado","NULL","NULL","NULL",30.7009608562732,1,0
8,"dream canyon",40.00774,-105.40585,"natural",40.00723,-105.40678,"bolts",1,"NULL","NULL",8,"Colorado","NULL","NULL","NULL",97.7657897140795,1,0
9,"dream canyon",40.00778,-105.4059,"natural",40.00802,-105.40765,"tree",1,"NULL","NULL",9,"Colorado","NULL","NULL","NULL",152.145215614412,1,0
10,"dream canyon",40.00796,-105.40779,"bolts",40.00722,-105.40689,"bolts",1,"NULL","NULL",10,"Colorado","NULL","NULL","NULL",112.772021345434,1,0
11,"dream canyon",40.00765,-105.40616,"unknown",40.00741,-105.4056,"unknown",0,"NULL","NULL",11,"Colorado","NULL","NULL","NULL",54.8716049633725,1,0
12,"dream canyon",40.00711,-105.40742,"unknown",40.00696,-105.4064,"unknown",0,"NULL","NULL",12,"Colorado","NULL","NULL","NULL",88.8845606767633,1,0
13,"dream canyon",40.00769,-105.40664,"unknown",40.00784,-105.40755,"unknown",0,"NULL","NULL",13,"Colorado","NULL","NULL","NULL",79.6559591782213,1,0
14,"dream canyon",40.0071,-105.40597,"unknown",40.00756,-105.40578,"unknown",0,"NULL","NULL",14,"Colorado","NULL","NULL","NULL",53.7196510881509,1,0
15,"dream canyon",40.00688,-105.40741,"unknown",40.00674,-105.40727,"unknown",0,"NULL","NULL",15,"Colorado","NULL","NULL","NULL",19.6569029202758,1,0
16,"dream canyon",40.00585,-105.407,"unknown",40.00574,-105.40606,"unknown",0,"NULL","NULL",16,"Colorado","NULL","NULL","NULL",81.3829709898127,1,0
17,"gulch",40.10987,-105.33571,"tree",40.10976,-105.33642,"tree",1,"NULL","NULL",17,"Colorado","NULL","NULL","NULL",61.9049599986719,1,0
18,"gulch",40.11044,-105.33583,"tree",40.1101,-105.33532,"tree",1,"NULL","NULL",18,"Colorado","NULL","NULL","NULL",57.7255193246444,1,0
19,"gulch",40.11072,-105.33693,"tree",40.11037,-105.3373,"tree",1,"NULL","NULL",19,"Colorado","NULL","1","NULL",50.1775163226983,1,0
20,"gulch",40.11071,-105.33687,"tree",40.11034,-105.33725,"tree",1,"NULL","NULL",20,"Colorado","NULL","1","NULL",52.4498437874052,1,0
21,"property",40.16616,-105.40054,"bolts",40.16546,-105.39859,"bolts",1,"NULL","NULL",21,"Colorado","NULL","NULL","NULL",183.840290756831,1,0
22,"property",40.16621,-105.40045,"bolts",40.16562,-105.39849,"bolts",1,"NULL","NULL",22,"Colorado","NULL","NULL","NULL",179.789657150994,1,0
23,"property",40.16582,-105.40092,"bolts",40.16491,-105.40088,"bolts",1,"NULL","NULL",23,"Colorado","NULL","NULL","NULL",101.34459630887,1,0
24,"property",40.16591,-105.40115,"tree",40.16546,-105.40179,"bolts",1,"NULL","NULL",24,"Colorado","NULL","NULL","NULL",74.1309247458336,1,0
25,"property",40.16758,-105.4013,"NULL",40.16868,-105.39942,"NULL",0,"NULL","NULL",25,"Colorado","NULL","1","NULL",201.892018313728,1,0
26,"property",40.16765,-105.40282,"NULL",40.16907,-105.40276,"NULL",0,"NULL","NULL",26,"Colorado","NULL","1","NULL",158.135030892244,1,0
27,"vicksburg",38.99626,-106.35055,"tree",38.99626,-106.35072,"natural",1,"NULL","NULL",27,"Colorado","NULL","NULL","NULL",14.7507910108226,1,0
28,"fruit bowl",38.537808,-109.942228,"bolts",38.539883,-109.938014,"bolts",1,"NULL","NULL",28,"Utah","NULL","NULL","NULL",433.507635461329,0,0
29,"fruit bowl",38.537119,-109.946008,"bolts",38.53523,-109.948128,"bolts",1,"NULL","NULL",29,"Utah","NULL","NULL","NULL",279.446637877001,0,0
30,"fruit bowl",38.535186,-109.948136,"bolts",38.533188,-109.947188,"bolts",1,"NULL","NULL",30,"Utah","NULL","NULL","NULL",236.622915744345,0,0
31,"fruit bowl",38.535066,-109.947866,"bolts",38.53325,-109.947182,"bolts",1,"NULL","NULL",31,"Utah","NULL","NULL","NULL",210.162657191287,0,0
32,"fruit bowl",38.535036,-109.947751,"bolts",38.533411,-109.94709,"bolts",1,"NULL","NULL",32,"Utah","NULL","NULL","NULL",189.312945278951,0,0
33,"fruit bowl",38.534791,-109.947248,"bolts",38.533422,-109.947079,"bolts",1,"NULL","NULL",33,"Utah","NULL","NULL","NULL",152.635532540041,0,0
34,"fruit bowl",38.534833,-109.947066,"bolts",38.533465,-109.94698,"bolts",1,"NULL","NULL",34,"Utah","NULL","NULL","NULL",151.997012277067,0,0
35,"fruit bowl",38.534738,-109.94696,"bolts",38.533503,-109.946893,"bolts",1,"NULL","NULL",35,"Utah","NULL","NULL","NULL",137.176918699509,0,0
36,"fruit bowl",38.534676,-109.946917,"bolts",38.533566,-109.946731,"bolts",1,"NULL","NULL",36,"Utah","NULL","NULL","NULL",124.243203038849,0,0
37,"fruit bowl",38.534664,-109.946734,"bolts",38.533648,-109.946535,"bolts",1,"NULL","NULL",37,"Utah","NULL","NULL","NULL",114.075805484949,0,0
38,"fruit bowl",38.534631,-109.946638,"bolts",38.53366,-109.946409,"bolts",1,"NULL","NULL",38,"Utah","NULL","NULL","NULL",109.58871202456,0,0
39,"fruit bowl",38.533768,-109.945729,"bolts",38.533583,-109.946057,"bolts",1,"NULL","NULL",39,"Utah","NULL","NULL","NULL",35.1981029900532,0,1
40,"fruit bowl",38.534223,-109.946025,"bolts",38.534604,-109.94657,"bolts",1,"NULL","NULL",40,"Utah","NULL","NULL","NULL",63.5957737036726,0,0
41,"fruit bowl",38.534354,-109.945992,"bolts",38.534598,-109.946447,"bolts",1,"NULL","NULL",41,"Utah","NULL","NULL","NULL",48.0221851322498,0,0
42,"fruit bowl",38.534431,-109.945945,"bolts",38.534598,-109.946447,"bolts",1,"NULL","NULL",42,"Utah","NULL","NULL","NULL",47.5197999225834,0,0
43,"fruit bowl",38.534582,-109.945887,"bolts",38.53489,-109.946301,"bolts",1,"NULL","NULL",43,"Utah","NULL","NULL","NULL",49.7040193494032,0,0
44,"fruit bowl",38.534659,-109.945861,"bolts",38.53488,-109.946255,"bolts",1,"NULL","NULL",44,"Utah","NULL","NULL","NULL",42.2010392246382,0,0
45,"fruit bowl",38.534748,-109.945814,"bolts",38.53489,-109.946236,"bolts",1,"NULL","NULL",45,"Utah","NULL","NULL","NULL",40.0169557119876,0,0
46,"fruit bowl",38.534757,-109.945801,"bolts",38.534891,-109.946236,"bolts",1,"NULL","NULL",46,"Utah","NULL","NULL","NULL",40.7285025498117,0,0
47,"fruit bowl",38.534773,-109.945809,"bolts",38.534953,-109.946175,"bolts",1,"NULL","NULL",47,"Utah","NULL","NULL","NULL",37.6400253799237,0,0
